call_id,ticker,quarter,call_start,modeled_events,market_resolution_seconds,raw_T50_seconds,raw_T90_seconds,raw_lambda_per_second,raw_half_life_seconds,total_price_impact,model_r_squared,placebo_iterations,placebo_impact_percentile,anchor_status,call_start_source,transcript_source_url,market_provider,market_source_url,benchmark,measurement_flags
SNOW_Q1_2025,SNOW,Q1 2025,2024-05-22T17:00:00-04:00,15.0,60.0,360.0,360.0,0.0029565807358465156,234.44216224370626,0.006115443593160564,0.1267418546762622,20.0,40.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2024-5-22-snowflake-inc-stock/,https://www.marketbeat.com/earnings/reports/2024-5-22-snowflake-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2024-05.parquet,QQQ,cumulative response reverses; cumulative response overshoots
SNOW_Q3_2025,SNOW,Q3 2025,2024-11-20T17:00:00-05:00,21.0,60.0,180.0,300.0,0.006763083763847859,102.48981156571969,-0.0014145715279784625,0.010628371793664715,20.0,80.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2024-11-20-snowflake-inc-stock/,https://www.marketbeat.com/earnings/reports/2024-11-20-snowflake-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2024-11.parquet,QQQ,cumulative response reverses; cumulative response overshoots
SNOW_Q4_2025,SNOW,Q4 2025,2025-02-26T17:00:00-05:00,18.0,60.0,120.0,180.0,0.008570188560948011,80.8788716409842,0.004386597803390392,0.03289710735330775,20.0,40.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2025-2-26-snowflake-inc-stock/,https://www.marketbeat.com/earnings/reports/2025-2-26-snowflake-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2025-02.parquet,QQQ,cumulative response reverses; cumulative response overshoots
SNOW_Q1_2026,SNOW,Q1 2026,2025-05-21T17:00:00-04:00,21.0,60.0,660.0,660.0,0.00039066762426855675,1774.2631779577796,-0.0007190457242884936,0.047040924628286906,20.0,25.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2025-5-21-snowflake-inc-stock/,https://www.marketbeat.com/earnings/reports/2025-5-21-snowflake-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2025-05.parquet,QQQ,cumulative response reverses; cumulative response overshoots
SNOW_Q2_2026,SNOW,Q2 2026,2025-08-27T17:00:00-04:00,7.0,60.0,120.0,180.0,0.010701115431747005,64.77335797197226,0.0023347407399670105,0.08285741492670551,20.0,55.00000000000001,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2025-8-27-snowflake-inc-stock/,https://www.marketbeat.com/earnings/reports/2025-8-27-snowflake-inc-stock/,huggingface-mito0o852-finnhub-1m,https://huggingface.co/datasets/mito0o852/OHLCV-1m/blob/main/data/ohlcv_2025-08.parquet,QQQ,fewer than 10 modeled events; cumulative response reverses; cumulative response overshoots
SNOW_Q3_2026,SNOW,Q3 2026,2025-12-03T17:00:00-05:00,34.0,60.0,300.0,420.0,0.003812366133580494,181.81548053700604,0.0034178912279367647,0.031135657623203583,20.0,100.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2025-12-3-snowflake-inc-stock/,https://www.marketbeat.com/earnings/reports/2025-12-3-snowflake-inc-stock/,huggingface-mito0o852-finnhub-1m,https://huggingface.co/datasets/mito0o852/OHLCV-1m/blob/main/data/ohlcv_2025-12.parquet,SPY,cumulative response reverses; cumulative response overshoots
SNOW_Q4_2026,SNOW,Q4 2026,2026-02-25T17:00:00-05:00,30.0,60.0,300.0,540.0,0.0011775666880870284,588.6266888934939,0.0003493763642628528,0.05707726396650681,20.0,0.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2026-2-25-snowflake-inc-stock/,https://www.marketbeat.com/earnings/reports/2026-2-25-snowflake-inc-stock/,huggingface-mito0o852-finnhub-1m,https://huggingface.co/datasets/mito0o852/OHLCV-1m/blob/main/data/ohlcv_2026-02.parquet,QQQ,cumulative response reverses; cumulative response overshoots
SNOW_Q2_2027,SNOW,Q2 2027,2026-09-02T17:00:00-04:00,23.0,60.0,480.0,660.0,0.0017035879415385835,406.8749042294431,0.002024602483455328,0.03895685242141289,100.0,50.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2026-9-2-snowflake-inc-stock/,https://www.marketbeat.com/earnings/reports/2026-9-2-snowflake-inc-stock/,yahoo-chart-1m,,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q4_2019,TSLA,Q4 2019,2020-01-29T18:30:00-05:00,26.0,60.0,60.0,60.0,0.24133565864636825,2.8721291517704035,0.00018422246914039274,0.05315120269677531,20.0,35.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2020-1-29-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2020-1-29-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2020-01.parquet,SPY,cumulative response reverses; cumulative response overshoots; exponential half-life below price resolution
TSLA_Q1_2020,TSLA,Q1 2020,2020-04-29T18:30:00-04:00,15.0,60.0,300.0,660.0,0.0013036035768352243,531.7162309746863,0.002819119486695272,0.08278280698398133,20.0,95.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2020-4-29-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2020-4-29-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2020-04.parquet,SPY,cumulative response reverses; cumulative response overshoots
