call_id,ticker,quarter,call_start,new_transcript,transcript_segments,status,new_model_for_research,anchor_status,call_start_source,transcript_source_url,market_provider,market_source_url,benchmark,exclusion_reason
AMD_Q4_2019,AMD,Q4 2019,2020-01-28T17:30:00-05:00,True,126,modeled,True,primary_verified,https://ir.amd.com/news-events/press-releases/detail/930/amd-reports-fourth-quarter-and-annual-2019-financial-results,https://www.marketbeat.com/earnings/reports/2020-1-28-advanced-micro-devices-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2020-01.parquet,SPY,
AMD_Q1_2020,AMD,Q1 2020,2020-04-28T17:30:00-04:00,True,126,modeled,True,primary_verified,https://ir.amd.com/news-events/press-releases/detail/944/amd-reports-first-quarter-2020-financial-results,https://www.marketbeat.com/earnings/reports/2020-4-28-advanced-micro-devices-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2020-04.parquet,QQQ,
AMD_Q2_2020,AMD,Q2 2020,2020-07-28T17:00:00-04:00,True,127,failed_coverage_or_model,,primary_verified,https://ir.amd.com/news-events/press-releases/detail/963/amd-reports-second-quarter-2020-financial-results,https://www.marketbeat.com/earnings/reports/2020-7-28-advanced-micro-devices-inc-stock/,none,,QQQ,"SPY insufficient coverage: {'call_bars': 25, 'expected_call_minutes': 55, 'coverage_fraction': 0.45454545454545453, 'max_call_gap_seconds': 360.0, 'pre_release_bars': 120, 'first_price': '2020-07-28T18:00:00+00:00', 'last_price': '2020-07-28T22:40:00+00:00'}"
AMD_Q3_2020,AMD,Q3 2020,2020-10-27T08:00:00-04:00,True,119,modeled,True,primary_verified,https://ir.amd.com/financial-information/sec-filings/content/0000002488-20-000161/q32020991.htm,https://www.marketbeat.com/earnings/reports/2020-10-27-advanced-micro-devices-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2020-10.parquet,QQQ,
AMD_Q4_2020,AMD,Q4 2020,2021-01-26T17:00:00-05:00,True,130,modeled,True,primary_verified,https://ir.amd.com/news-events/press-releases/detail/988/amd-reports-fourth-quarter-and-full-year-2020-financial-results,https://www.marketbeat.com/earnings/reports/2021-1-26-advanced-micro-devices-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2021-01.parquet,SPY,
AMD_Q1_2021,AMD,Q1 2021,2021-04-27T17:00:00-04:00,True,109,failed_coverage_or_model,,primary_verified,https://ir.amd.com/financial-information/sec-filings/content/0000002488-21-000054/q12021991.htm,https://www.marketbeat.com/earnings/reports/2021-4-27-advanced-micro-devices-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2021-04.parquet,SPY,"SPY insufficient coverage: {'call_bars': 39, 'expected_call_minutes': 58, 'coverage_fraction': 0.6724137931034483, 'max_call_gap_seconds': 360.0, 'pre_release_bars': 120, 'first_price': '2021-04-27T18:00:00+00:00', 'last_price': '2021-04-27T22:42:00+00:00'}"
AMD_Q2_2021,AMD,Q2 2021,2021-07-27T17:00:00-04:00,True,89,modeled,True,primary_verified,https://ir.amd.com/news-events/press-releases/detail/1014/amd-reports-second-quarter-2021-financial-results,https://www.marketbeat.com/earnings/reports/2021-7-27-advanced-micro-devices-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2021-07.parquet,QQQ,
AMD_Q3_2021,AMD,Q3 2021,2021-10-26T17:00:00-04:00,True,126,failed_coverage_or_model,,primary_verified,https://ir.amd.com/news-events/press-releases/detail/1027/amd-reports-third-quarter-2021-financial-results,https://www.marketbeat.com/earnings/reports/2021-10-26-advanced-micro-devices-inc-stock/,none,,QQQ,"SPY insufficient coverage: {'call_bars': 31, 'expected_call_minutes': 51, 'coverage_fraction': 0.6078431372549019, 'max_call_gap_seconds': 360.0, 'pre_release_bars': 120, 'first_price': '2021-10-26T18:00:00+00:00', 'last_price': '2021-10-26T22:36:00+00:00'}"
AMD_Q4_2021,AMD,Q4 2021,2022-02-01T17:00:00-05:00,True,124,modeled,True,primary_verified,https://ir.amd.com/news-events/press-releases/detail/1044/amd-reports-fourth-quarter-and-full-year-2021-financial-results,https://www.marketbeat.com/earnings/reports/2022-2-1-advanced-micro-devices-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2022-02.parquet,QQQ,
AMD_Q1_2022,AMD,Q1 2022,2022-05-03T17:00:00-04:00,True,118,modeled,True,primary_verified,https://ir.amd.com/news-events/press-releases/detail/1062/amd-reports-first-quarter-2022-financial-results,https://www.marketbeat.com/earnings/reports/2022-5-3-advanced-micro-devices-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2022-05.parquet,QQQ,
